,local_case,quarantine_case,death_case
2021-06-24,341,0,3
2021-06-25,849,0,2
2021-06-26,100,0,0
2021-06-27,329,0,3
2021-06-28,479,0,0
2021-06-29,282,0,4
2021-06-30,529,0,3
2021-07-01,698,0,0
2021-07-02,528,0,5
2021-07-03,916,0,0
2021-07-04,851,0,9
2021-07-05,1099,0,5
2021-07-06,1041,0,7
2021-07-07,1513,0,8
2021-07-08,793,0,12
2021-07-09,1613,0,6
2021-07-10,1872,0,9
2021-07-11,1933,0,18
2021-07-12,2365,0,25
2021-07-13,2299,0,20
2021-07-14,2222,0,14
2021-07-15,4096,0,3
2021-07-16,1657,0,1
2021-07-17,6017,0,29
2021-07-18,5301,0,1
2021-07-19,4188,0,79
2021-07-20,4781,0,32
2021-07-21,7091,0,0
2021-07-22,6528,0,0
2021-07-23,5273,0,0
2021-07-24,9248,0,0
2021-07-25,4593,0,154
2021-07-26,10810,0,0
2021-07-27,7893,0,0
2021-07-28,6561,0,106
2021-07-29,7597,0,233
2021-07-30,8626,0,298
2021-07-31,8627,0,145
2021-08-01,2299,6299,0
2021-08-02,2435,5014,389
2021-08-03,1657,6724,376
2021-08-04,2068,5567,256
2021-08-05,1895,5343,393
2021-08-06,2367,5887,296
2021-08-07,1717,5641,0
2021-08-08,3408,6252,381
2021-08-09,1715,7635,360
2021-08-10,1160,7243,388
2021-08-11,2391,6373,342
2021-08-12,2489,7179,326
2021-08-13,1861,7275,275
2021-08-14,2901,6797,349
2021-08-15,2609,6965,337
2021-08-16,2544,6127,367
2021-08-17,3762,5865,331
2021-08-18,4876,3767,298
2021-08-19,6127,4549,380
2021-08-20,5851,4812,390
2021-08-21,7200,6257,0
2021-08-22,6692,4674,737
2021-08-23,4837,5562,389
2021-08-24,6280,4501,348
2021-08-25,7389,4744,335
2021-08-26,5759,5843,318
2021-08-27,6887,10562,386
2021-08-28,6907,5269,352
2021-08-29,5830,6959,344
2021-08-30,7817,6465,315
2021-08-31,7334,5315,0
2021-09-01,6797,4747,803
2021-09-02,7490,5777,271
2021-09-03,9131,5842,308
2021-09-04,4791,4807,347
2021-09-05,5789,5683,281
2021-09-06,8309,4438,311
2021-09-07,8390,5908,316
2021-09-08,8027,4731,424
2021-09-09,6410,4624,345
2021-09-10,8355,5092,275
2021-09-11,3504,5675,273
2021-09-12,6608,4912,261
2021-09-13,5306,3427,381
2021-09-14,6716,3825,276
2021-09-15,5037,1607,250
2021-09-16,5906,3252,239
2021-09-17,6893,4637,212
2021-09-18,2326,3775,220
2021-09-19,3523,3773,233
2021-09-20,5582,2112,215
2021-09-21,6948,4784,240
2021-09-22,2670,5069,236
2021-09-23,5331,4160,236
2021-09-24,1112,4483,203
2021-09-25,4634,5062,180
2021-09-26,4455,4190,184
2021-09-27,2773,4445,174
2021-09-28,3705,3210,178
2021-09-29,403,1032,162
2021-09-30,4638,3567,203
2021-10-01,3887,3172,136
2021-10-02,2432,2565,164
2021-10-03,2275,4074,114
2021-10-04,905,1986,130
2021-10-05,1737,3529,134
2021-10-06,757,1542,119
2021-10-07,1944,1604,125
2021-10-08,2460,2718,114
2021-10-09,2207,2678,105
2021-10-10,28,663,113
2021-10-11,880,2004,115
2021-10-12,1192,2052,93
2021-10-13,1597,2626,106
2021-10-14,1964,3010,81
2021-10-15,1709,3264,93
2021-10-16,1244,2762,88
2021-10-17,1421,2354,63
2021-10-18,1311,2606,75
2021-10-19,1326,2487,75
2021-10-20,1713,1449,72
2021-10-21,436,1944,71
2021-10-22,1801,2653,56
2021-10-23,1470,2770,77
2021-10-24,1728,2921,53
2021-10-25,1642,2375,65
2021-10-26,1515,2715,64
2021-10-27,2152,3273,54
2021-10-28,2087,3361,54
2021-10-29,2616,3314,56
2021-10-30,2381,3180,64
2021-10-31,2445,3861,53
2021-11-01,2462,3693,48
2021-11-02,2228,3500,74
2021-11-03,3792,3593,78
2021-11-04,2937,3695,59
2021-11-05,3326,4247,70
2021-11-06,3226,4226,58
2021-11-07,3361,4256,61
2021-11-08,3639,4304,67
2021-11-09,3442,3600,88
2021-11-10,3981,3936,79
2021-11-11,4297,3749,84
2021-11-12,4247,4620,81
2021-11-13,4058,4127,88
2021-11-14,3760,4308,64
2021-11-15,4043,4411,101
2021-11-16,5461,5377,87
2021-11-17,5153,4717,67
2021-11-18,6031,4984,139
2021-11-19,5007,4619,102
2021-11-20,5384,5069,107
2021-11-21,5768,5009,126
2021-11-22,5613,4683,140
2021-11-23,5847,4767,167
2021-11-24,6940,5332,125
2021-11-25,6845,5582,164
2021-11-26,7275,5802,137
2021-11-27,6745,5631,148
2021-11-28,7135,5772,190
2021-11-29,7652,6083,173
2021-11-30,7462,6532,197
2021-12-01,8415,7045,196
2021-12-02,9781,7641,210
2021-12-03,11276,6737,200
2021-12-04,9270,6256,203
2021-12-05,10342,8053,199
2021-12-06,8251,6330,223
2021-12-07,10292,8439,217
2021-12-08,8563,6051,230
2021-12-09,8867,6433,256
2021-12-10,9388,6344,216
2021-12-11,9747,6357,209
2021-12-12,9439,5182,228
2021-12-13,9268,6081,242
2021-12-14,9512,5691,252
2021-12-15,10105,5417,283
2021-12-16,9531,4804,241
2021-12-17,10383,4832,246
2021-12-18,10531,5352,248
2021-12-19,10819,5274,215
2021-12-20,9508,5458,225
2021-12-21,11566,4750,250
2021-12-22,11122,5400,210
2021-12-23,10387,5980,280
2021-12-24,10766,5376,235
2021-12-25,9376,6183,241
2021-12-26,10087,5095,207
2021-12-27,10604,4263,204
2021-12-28,9270,5151,214
2021-12-29,9085,4788,245
2021-12-30,13868,5980,291
2021-12-31,11477,4999,226
2022-01-01,9820,5002,216
2022-01-02,12203,4711,221
2022-01-03,11482,4434,190
2022-01-04,16001,5695,224
2022-01-05,12563,4434,229
2022-01-06,18115,7296,170
2022-01-07,11952,4302,233
2022-01-08,12317,4196,240
2022-01-09,15179,7974,202
2022-01-10,9668,5115,212
2022-01-11,10765,5254,256
2022-01-12,18723,9488,177
2022-01-13,10891,5809,206
2022-01-14,12123,3903,171
2022-01-15,12890,3415,139
2022-01-16,11224,4419,129
2022-01-17,12606,9085,179
2022-01-18,12283,4480,184
2022-01-19,10723,5213,142
2022-01-20,12030,4607,152
2022-01-21,11163,4738,177
2022-01-22,11233,4425,153
2022-01-23,10551,4383,123
2022-01-24,9744,4563,165
2022-01-25,10933,4766,126
2022-01-26,10799,5086,155
2022-01-27,10932,4740,126
2022-01-28,10503,4389,141
2022-01-29,14416,4672,115
2022-01-30,18580,7160,121
2022-01-31,8756,3881,109
2022-02-01,7519,3492,0
2022-02-02,5152,3570,0
2022-02-03,5089,3486,286
2022-02-04,7019,4567,84
2022-02-05,7447,4713,114
2022-02-06,8714,5391,63
2022-02-07,11586,5223,100
2022-02-08,15184,6717,97
2022-02-09,16405,7548,93
2022-02-10,18067,7956,74
2022-02-11,17825,8645,96
2022-02-12,19283,8019,78
2022-02-13,18567,7805,84
2022-02-14,20907,8496,91
2022-02-15,23007,8793,85
2022-02-16,25099,9624,66
2022-02-17,25740,10450,90
2022-02-18,31245,11134,80
2022-02-19,38775,15893,65
2022-02-20,34021,13171,78
2022-02-21,33303,13558,104
2022-02-22,39751,16045,77
2022-02-23,58617,23492,91
2022-02-24,48626,20493,111
2022-02-25,55781,22745,78
2022-02-26,64798,34066,88
2022-02-27,69892,31512,94
2022-02-28,92573,28065,108
2022-03-01,69696,44429,86
2022-03-02,101684,49484,114
2022-03-03,107089,68850,95
2022-03-04,122969,49946,97
2022-03-05,119749,53247,82
2022-03-06,131928,69931,87
2022-03-07,90043,57292,78
2022-03-08,139040,55755,86
2022-03-09,161054,104089,109
2022-03-10,157968,60476,71
2022-03-11,130048,56629,71
2022-03-12,270936,161569,62
2022-03-13,121883,87603,95
2022-03-14,190764,74010,92
2022-03-15,126771,48697,68
2022-03-16,159611,98845,62
2022-03-17,144971,49741,76
2022-03-18,117152,79743,57
2022-03-19,124531,55892,77
2022-03-20,113597,52608,63
2022-03-21,14121,5985,69
2022-03-22,169122,78537,65
2022-03-23,90239,50593,61
2022-03-24,86830,32486,70
2022-03-25,112602,46108,51
2022-03-26,118391,39912,62
2022-03-27,61948,29968,48
2022-03-28,55302,28071,52
2022-03-29,84397,27241,55
2022-03-30,63855,21904,41
2022-03-31,65667,26677,39
2022-04-01,63392,22661,33
2022-04-02,45187,20429,37
2022-04-03,57996,44050,37
2022-04-04,34252,14463,42
2022-04-05,39035,14948,39
2022-04-06,43852,14572,31
2022-04-07,47257,42969,21
2022-04-08,30528,34005,35
2022-04-09,25348,8790,26
2022-04-10,20770,7537,19
2022-04-11,43711,8210,17
2022-04-12,17483,5321,28
2022-04-13,20165,4458,20
2022-04-14,18454,4558,23
2022-04-15,29649,44285,23
2022-04-16,18057,5297,10
2022-04-17,11069,3591,10
2022-04-18,39255,4016,13
2022-04-19,10396,3104,18
2022-04-20,10477,2794,7
2022-04-21,27722,2852,9
2022-04-22,8087,3073,7
2022-04-23,7285,3080,6
2022-04-24,6431,2381,9
2022-04-25,5325,2945,8
2022-04-26,6311,2120,8
2022-04-27,9786,1527,5
2022-04-28,5876,1240,0
2022-04-29,4600,1468,0
2022-04-30,3658,1451,0
